,link_id,post_title,team_1,team_2,created_utc
53,e11i8x,Game Thread: Detroit Lions (3-6-1) at Washington Redskins (1-9),Lions,Redskins,1574616627.0
54,e11i83,Game Thread: Oakland Raiders (6-4) at New York Jets (3-7),Jets,Raiders,1574616625.0
55,e11i7g,Game Thread: Carolina Panthers (5-5) at New Orleans Saints (8-2),Panthers,Saints,1574616622.0
56,e11i6h,Game Thread: Miami Dolphins (2-8) at Cleveland Browns (4-6),Browns,Dolphins,1574616619.0
57,e11i5a,Game Thread: Pittsburgh Steelers (5-5) at Cincinnati Bengals (0-10),Bengals,Steelers,1574616616.0
58,e11i4c,Game Thread: New York Giants (2-8) at Chicago Bears (4-6),Bears,Giants,1574616613.0
59,e11i3w,Game Thread: Denver Broncos (3-7) at Buffalo Bills (7-3),Bills,Broncos,1574616610.0
60,e11i34,Game Thread: Tampa Bay Buccaneers (3-7) at Atlanta Falcons (3-7),Buccaneers,Falcons,1574616607.0
61,dzt5gp,Game Thread: Indianapolis Colts (6-4) at Houston Texans (6-4),Colts,Texans,1574383807.0
62,dycm4i,Game Thread: Kansas City Chiefs (6-4) at Los Angeles Chargers (4-6),Chargers,Chiefs,1574124312.0
63,dxvl2v,Game Thread: Chicago Bears (4-5) at Los Angeles Rams (5-4),Bears,Rams,1574038205.0
64,dxsewi,Game Thread: New England Patriots (8-1) at Philadelphia Eagles (5-4),Eagles,Patriots,1574024103.0
65,dxsevy,Game Thread: Cincinnati Bengals (0-9) at Oakland Raiders (5-4),Bengals,Raiders,1574024102.0
66,dxs4px,Game Thread: Arizona Cardinals (3-6-1) at San Francisco 49ers (8-1),49ers,Cardinals,1574022922.0
67,dxpi1j,Game Thread: New York Jets (2-7) at Washington Redskins (1-8),Jets,Redskins,1574011836.0
68,dxpi0u,Game Thread: New Orleans Saints (7-2) at Tampa Bay Buccaneers (3-6),Buccaneers,Saints,1574011833.0
69,dxpi00,Game Thread: Denver Broncos (3-6) at Minnesota Vikings (7-3),Broncos,Vikings,1574011830.0
70,dxphzb,Game Thread: Buffalo Bills (6-3) at Miami Dolphins (2-7),Bills,Dolphins,1574011828.0
71,dxphyn,Game Thread: Jacksonville Jaguars (4-5) at Indianapolis Colts (5-4),Colts,Jaguars,1574011825.0
72,dxphxv,Game Thread: Dallas Cowboys (5-4) at Detroit Lions (3-5-1),Cowboys,Lions,1574011822.0
73,dxphx9,Game Thread: Atlanta Falcons (2-7) at Carolina Panthers (5-4),Falcons,Panthers,1574011820.0
74,dxphwk,Game Thread: Houston Texans (6-3) at Baltimore Ravens (7-2),Ravens,Texans,1574011817.0
75,dwixur,Game Thread: Pittsburgh Steelers (5-4) at Cleveland Browns (3-6),Browns,Steelers,1573779012.0
76,dv22ng,Game Thread: Seattle Seahawks (7-2) at San Francisco 49ers (8-0),49ers,Seahawks,1573519505.0
77,dukg5p,Game Thread: Minnesota Vikings (6-3) at Dallas Cowboys (5-3),Cowboys,Vikings,1573433405.0
78,duh9sn,Game Thread: Los Angeles Rams (5-3) at Pittsburgh Steelers (4-4),Rams,Steelers,1573419310.0
79,duh9s0,Game Thread: Carolina Panthers (5-3) at Green Bay Packers (7-2),Packers,Panthers,1573419308.0
80,dugzhg,Game Thread: Miami Dolphins (1-7) at Indianapolis Colts (5-3),Colts,Dolphins,1573418110.0
81,duedfm,Game Thread: Kansas City Chiefs (6-3) at Tennessee Titans (4-5),Chiefs,Titans,1573407021.0
82,duedeh,Game Thread: Arizona Cardinals (3-5-1) at Tampa Bay Buccaneers (2-6),Buccaneers,Cardinals,1573407017.0
83,dueddw,Game Thread: New York Giants (2-7) at New York Jets (1-7),Giants,Jets,1573407013.0
84,duedcw,Game Thread: Atlanta Falcons (1-7) at New Orleans Saints (7-1),Falcons,Saints,1573407010.0
85,duedc5,Game Thread: Buffalo Bills (6-2) at Cleveland Browns (2-6),Bills,Browns,1573407008.0
86,duedbe,Game Thread: Baltimore Ravens (6-2) at Cincinnati Bengals (0-8),Bengals,Ravens,1573407005.0
87,duedaz,Game Thread: Detroit Lions (3-4-1) at Chicago Bears (3-5),Bears,Lions,1573407002.0
88,dt7gia,Game Thread: Los Angeles Chargers (4-5) at Oakland Raiders (4-4),Chargers,Raiders,1573174216.0
89,drraz8,Game Thread: Dallas Cowboys (4-3) at New York Giants (2-6),Cowboys,Giants,1572914714.0
90,dr9sps,Game Thread: New England Patriots (8-0) at Baltimore Ravens (5-2),Patriots,Ravens,1572828605.0
91,dr6kr8,Game Thread: Green Bay Packers (7-1) at Los Angeles Chargers (3-5),Chargers,Packers,1572814509.0
92,dr6kqs,Game Thread: Cleveland Browns (2-5) at Denver Broncos (2-6),Broncos,Browns,1572814508.0
